,Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_More_Than_Months,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
1949,7,0,625964,21,0,5,6,19,6,5,4,3,1,10,6,1,9676,587313,13251,1,6
157,6,3,593441,11,0,1,2,6,2,2,1,1,1,10,0,2,5224,1397221,17395,1,7
334,7,4,572185,18,1,1,2,8,6,2,2,3,1,10,0,3,11961,636079,15336,1,7
1488,3,4,733736,11,1,3,4,17,4,2,1,3,0,12,4,1,5700,905293,10175,1,6
612,4,2,121616,18,1,1,2,11,5,3,3,2,1,10,7,2,10960,421251,12227,1,6
1409,3,4,654199,14,0,3,4,17,4,2,1,2,0,12,4,2,6381,714564,17405,1,7
1970,7,0,279699,23,1,5,6,19,6,5,4,1,1,10,8,3,6197,725214,14667,1,9
241,2,1,178287,11,0,1,2,7,6,2,2,3,1,11,0,1,5169,1431815,16690,1,8
1487,3,4,555270,15,0,3,4,17,4,2,1,3,0,12,4,3,10373,483607,14668,1,6
2260,1,0,371183,22,1,2,3,15,2,2,5,3,3,10,2,1,7345,688099,15824,1,9
1330,7,4,302265,22,1,3,4,16,4,4,1,1,0,10,4,3,8860,618193,10825,1,8
589,6,1,252131,10,0,1,2,10,2,3,1,3,1,12,7,3,6258,642398,13355,1,6
893,5,2,129969,15,0,1,2,13,4,2,1,3,3,13,2,1,11669,733472,14108,1,9
1789,7,2,133269,12,0,5,6,18,3,2,1,3,3,13,2,3,6005,1340551,8678,1,7
1273,2,1,128685,19,0,3,4,16,4,4,1,3,0,10,4,2,12096,667100,10966,1,8
95,1,3,255346,15,0,1,2,5,2,2,1,2,1,10,0,2,8622,1288713,19859,1,7
1135,6,0,581556,10,0,2,3,15,2,2,5,2,2,11,2,1,6482,937687,16753,1,6
1209,2,1,504683,21,0,2,3,16,4,4,1,3,2,10,4,2,4209,1047498,19597,1,7
1765,7,2,585302,14,0,5,6,18,3,2,1,1,3,13,2,3,6633,937696,14207,1,6
1973,7,0,507073,13,0,5,6,19,6,5,4,3,1,10,8,2,6373,549930,11163,1,9
1137,6,0,406154,17,0,2,3,15,2,2,5,3,2,11,2,3,7061,1201056,9472,1,6
602,4,2,174217,15,1,1,2,11,5,3,3,2,1,10,7,3,4758,1259443,17014,1,7
1745,7,2,225928,20,0,4,5,18,3,2,1,1,3,13,2,1,5781,930573,9496,1,9
41,1,3,139803,14,0,1,2,5,2,2,1,2,1,10,0,2,10945,937765,12078,1,7
38,1,3,119973,22,1,1,2,5,2,2,1,2,1,10,0,1,7443,1409154,19932,1,7
1514,6,1,242915,17,1,4,5,17,3,2,1,3,0,10,4,1,7976,1169811,12820,1,7
740,6,2,729150,21,1,1,2,12,4,2,3,1,1,10,2,1,6544,757700,12954,1,9
796,6,2,519789,21,1,1,2,12,4,2,3,2,0,10,2,2,12104,1088198,17202,1,7
2076,5,2,764662,19,1,1,2,13,4,2,1,2,2,13,2,2,8152,1313969,19126,1,6
489,3,4,577256,18,0,1,2,9,6,2,1,2,1,10,7,1,5198,900080,17118,1,8
497,3,4,688952,22,0,1,2,9,6,2,1,3,1,10,7,3,10517,478604,15228,1,9
916,7,1,446992,21,1,1,2,14,4,2,1,1,3,10,2,2,11225,956323,12646,1,9
1057,1,0,661328,14,0,2,3,15,2,2,5,1,2,10,2,2,12432,1098374,13184,1,6
219,2,1,506311,23,0,1,2,7,6,2,2,2,1,11,0,1,7254,1182176,12569,1,7
1893,5,0,691624,12,0,5,6,19,5,2,4,2,3,10,3,3,11737,1181250,14940,1,6
688,4,2,629996,24,1,1,2,11,5,3,3,2,1,10,2,3,12245,462597,17591,1,8
1547,6,1,330980,12,0,4,5,17,3,2,1,1,0,10,4,2,11518,709053,10804,1,6
348,7,4,538371,11,1,1,2,8,6,2,2,2,1,10,0,2,5684,758956,11282,1,7
219,2,1,506311,23,0,1,2,7,6,2,2,2,1,11,0,1,7254,1182176,12569,1,7
1970,7,0,279699,23,1,5,6,19,6,5,4,1,1,10,8,3,6197,725214,14667,1,9
746,6,2,783020,22,1,1,2,12,4,2,3,2,1,10,2,1,12543,1041400,15092,1,6
1587,6,1,115552,24,0,4,5,17,3,2,1,3,0,10,4,1,4467,1012403,14250,1,6
1437,3,4,125443,18,0,3,4,17,4,2,1,2,0,12,4,1,8763,1373236,9257,1,6
14,1,3,244563,20,1,1,2,5,2,2,1,3,1,10,0,2,11476,1251358,13698,1,6
1256,2,1,641293,22,1,3,4,16,4,4,1,1,2,10,4,1,11808,684215,11216,1,7
1831,5,0,449955,23,0,5,6,19,5,2,4,3,3,10,3,1,10297,1320706,8385,1,8
1333,7,4,194735,15,0,3,4,16,4,4,1,2,0,10,4,2,10786,1220494,10810,1,9
200,2,1,456764,11,1,1,2,7,6,2,2,2,1,11,0,2,9999,1334324,12142,1,7
980,7,1,220798,22,1,1,2,14,4,2,1,2,2,10,2,3,9650,1220398,10009,1,7
938,7,1,608092,11,1,1,2,14,4,2,1,3,3,10,2,3,9598,640868,15921,1,8
2344,6,0,254717,22,1,2,3,15,2,2,5,2,3,11,2,3,5755,751566,15349,1,9
185,6,3,738038,17,0,1,2,6,2,2,1,1,1,10,0,1,4446,476535,10201,1,9
1057,1,0,661328,14,0,2,3,15,2,2,5,1,2,10,2,2,12432,1098374,13184,1,6
1723,7,2,386212,19,0,4,5,18,3,2,1,3,3,13,2,3,4840,464241,18041,1,6
401,3,4,319026,15,0,1,2,9,6,2,1,1,1,10,7,1,11767,1148021,13662,1,7
355,7,4,714993,17,0,1,2,8,6,2,2,3,1,10,0,1,9208,923353,17541,1,7
305,7,4,524397,16,0,1,2,8,6,2,2,1,1,10,0,1,5342,1333337,12391,1,9
1145,6,0,694935,14,0,2,3,15,2,2,5,3,2,11,2,2,5618,460373,18780,1,6
518,6,1,134898,20,1,1,2,10,2,3,1,2,1,12,7,3,6960,1358631,19223,1,8
2028,5,2,407596,18,1,1,2,13,4,2,1,2,2,13,2,3,6942,1047739,13077,1,7
1871,5,0,762729,17,0,5,6,19,5,2,4,3,3,10,3,3,6111,935389,17872,1,7
2072,5,2,281032,13,1,1,2,13,4,2,1,1,2,13,2,3,5471,521399,14420,1,9
703,6,2,481879,13,0,1,2,12,4,2,3,1,1,10,2,1,5255,1029077,11482,1,6
759,6,2,700606,11,0,1,2,12,4,2,3,3,1,10,2,2,6898,1363624,15061,1,9
1949,7,0,625964,21,0,5,6,19,6,5,4,3,1,10,6,1,9676,587313,13251,1,6
10,1,3,238090,22,1,1,2,5,2,2,1,2,1,10,0,3,5109,629295,11335,1,8
1339,7,4,194326,15,0,3,4,16,4,4,1,2,0,10,4,1,5052,583001,14107,1,6
624,4,2,638027,12,1,1,2,11,5,3,3,1,1,10,7,3,11559,854342,13229,1,7
336,7,4,170617,15,1,1,2,8,6,2,2,2,1,10,0,3,7909,1340741,9443,1,8
608,4,2,693519,13,1,1,2,11,5,3,3,2,1,10,7,2,4556,1215403,7611,1,9
1548,6,1,497175,12,1,4,5,17,3,2,1,3,0,10,4,3,10827,984431,13267,1,6
2209,1,0,216367,15,0,2,3,15,2,2,5,3,2,10,2,1,10392,1110272,13329,1,9
1135,6,0,581556,10,0,2,3,15,2,2,5,2,2,11,2,1,6482,937687,16753,1,6
320,7,4,652190,22,1,1,2,8,6,2,2,2,1,10,0,3,5503,711347,16062,1,9
2110,7,1,480988,10,1,1,2,14,4,2,1,2,2,10,2,2,4539,939452,17424,1,8
2143,7,1,147540,14,0,1,2,14,4,2,1,2,2,10,2,3,7375,1414175,18937,1,8
1567,6,1,417295,14,0,4,5,17,3,2,1,2,0,10,4,2,12232,1129189,13544,1,8
1956,7,0,369403,13,1,5,6,19,6,5,4,2,1,10,6,2,6652,1075948,11357,1,6
517,6,1,557295,24,0,1,2,10,2,3,1,2,1,12,7,2,11763,523207,18044,1,6
1614,4,2,198363,18,1,4,5,18,3,2,1,3,0,10,4,1,10624,535223,8926,1,8
2169,7,1,327303,20,0,1,2,14,4,2,1,3,0,10,2,3,3911,581102,12848,1,8
1050,1,0,605904,21,1,2,3,15,2,2,5,2,2,10,2,1,5757,779935,12324,1,9
1028,1,0,127738,24,1,2,3,15,2,2,5,2,0,10,2,2,3757,1016435,9274,1,9
931,7,1,565390,13,0,1,2,14,4,2,1,3,3,10,2,3,8676,974566,8154,1,6
194,6,3,335685,17,1,1,2,6,2,2,1,1,1,10,0,2,8299,717042,10691,1,9
2072,5,2,281032,13,1,1,2,13,4,2,1,1,2,13,2,3,5471,521399,14420,1,9
2082,5,2,174386,20,1,1,2,13,4,2,1,2,2,13,2,2,11394,882547,12400,1,8
1493,3,4,721738,23,0,3,4,17,4,2,1,2,0,12,4,3,6691,1293202,11534,1,8
1120,6,0,255563,12,1,2,3,15,2,2,5,2,2,11,2,2,5283,1080289,17098,1,7
652,4,2,718250,20,1,1,2,11,5,3,3,1,1,10,7,2,9493,841883,15408,1,6
227,2,1,519429,22,0,1,2,7,6,2,2,1,1,11,0,2,6229,574141,15886,1,7
554,6,1,520746,13,1,1,2,10,2,3,1,3,1,12,7,1,4350,487554,17628,1,9
504,6,1,397702,11,1,1,2,10,2,3,1,2,1,12,7,2,10907,1085580,19465,1,9
850,5,2,124088,10,1,1,2,13,4,2,1,1,3,13,2,2,5832,946190,17974,1,9
2153,7,1,736737,22,0,1,2,14,4,2,1,3,2,10,2,3,9325,1275743,13975,1,7
2138,7,1,157857,21,1,1,2,14,4,2,1,3,2,10,2,3,11561,439778,15451,1,9
2223,1,0,767440,19,0,2,3,15,2,2,5,2,3,10,2,1,4942,1005769,14640,1,7
970,7,1,726685,14,1,1,2,14,4,2,1,3,3,10,2,2,7271,1254275,11183,1,9
1123,6,0,500170,13,0,2,3,15,2,2,5,2,2,11,2,3,8285,1194891,17716,1,9
1486,3,4,248025,19,1,3,4,17,4,2,1,1,0,12,4,2,7207,1093078,12215,1,9
821,5,2,636477,16,0,1,2,13,4,2,1,2,3,13,2,3,11509,1026785,13674,1,8
1118,6,0,679262,21,1,2,3,15,2,2,5,2,2,11,2,2,4126,787849,15837,1,9
960,7,1,394342,15,1,1,2,14,4,2,1,1,3,10,2,1,10450,467581,12407,1,6
2040,5,2,565131,20,1,1,2,13,4,2,1,1,2,13,2,2,8824,940986,19693,1,8
5,1,3,198118,11,0,1,2,5,2,2,1,2,1,10,0,2,11323,1350187,16349,1,7
1828,5,0,166051,18,1,5,6,19,5,2,4,1,3,10,3,3,12561,801445,10840,1,6
89,1,3,127205,15,0,1,2,5,2,2,1,3,1,10,0,1,8201,464657,13331,1,6
450,3,4,394932,19,1,1,2,9,6,2,1,2,1,10,7,1,5672,897630,11064,1,7
293,2,1,164209,22,0,1,2,7,6,2,2,1,1,11,0,1,7147,1273290,14980,1,8
605,4,2,259411,14,0,1,2,11,5,3,3,1,1,10,7,1,11609,503237,10098,1,6
554,6,1,520746,13,1,1,2,10,2,3,1,3,1,12,7,1,4350,487554,17628,1,9
127,6,3,402252,17,0,1,2,6,2,2,1,2,1,10,0,3,3761,901079,17615,1,8
1480,3,4,413782,24,1,3,4,17,4,2,1,2,0,12,4,2,8320,912070,14761,1,8
125,6,3,270671,16,0,1,2,6,2,2,1,1,1,10,0,2,9045,758809,19771,1,7
97,1,3,247875,22,0,1,2,5,2,2,1,1,1,10,0,2,12519,851018,15770,1,9
36,1,3,540688,18,1,1,2,5,2,2,1,1,1,10,0,2,10565,757268,17968,1,7
631,4,2,657630,11,0,1,2,11,5,3,3,2,1,10,7,3,8120,1250565,7595,1,6
1533,6,1,335381,16,0,4,5,17,3,2,1,3,0,10,4,2,8778,929784,19164,1,8
1409,3,4,654199,14,0,3,4,17,4,2,1,2,0,12,4,2,6381,714564,17405,1,7
69,1,3,239044,22,0,1,2,5,2,2,1,3,1,10,0,2,8092,1089965,11775,1,9
1140,6,0,291375,16,1,2,3,15,2,2,5,1,2,11,2,2,8366,1291506,9116,1,9
712,6,2,764190,14,1,1,2,12,4,2,3,3,1,10,2,1,9009,1156049,17459,1,9
1067,1,0,650893,10,0,2,3,15,2,2,5,1,2,10,2,3,5189,797251,10204,1,6
1889,5,0,473380,20,0,5,6,19,5,2,4,2,3,10,3,1,5200,1319330,19806,1,8
1646,4,2,723816,18,1,4,5,18,3,2,1,3,3,10,0,2,6136,480866,17943,1,6
1970,7,0,279699,23,1,5,6,19,6,5,4,1,1,10,8,3,6197,725214,14667,1,9
2251,1,0,766039,24,0,2,3,15,2,2,5,3,3,10,2,1,6769,1264784,19511,1,7
2335,6,0,761709,12,0,2,3,15,2,2,5,3,3,11,2,2,11740,1100402,8146,1,6
561,6,1,491654,21,0,1,2,10,2,3,1,2,1,12,7,2,5091,1158476,18945,1,8
1492,3,4,742765,24,1,3,4,17,4,2,1,1,0,12,4,1,10207,1278579,19480,1,6
1160,6,0,513725,17,1,2,3,15,2,2,5,2,2,11,2,1,4116,1289390,18836,1,6
1514,6,1,242915,17,1,4,5,17,3,2,1,3,0,10,4,1,7976,1169811,12820,1,7
89,1,3,127205,15,0,1,2,5,2,2,1,3,1,10,0,1,8201,464657,13331,1,6
620,4,2,729265,12,1,1,2,11,5,3,3,3,1,10,7,3,8144,1283187,9886,1,7
1172,6,0,110991,15,1,2,3,15,2,2,5,2,2,11,2,1,11934,801880,17021,1,7
19,1,3,175553,12,0,1,2,5,2,2,1,1,1,10,0,2,9972,1394542,8265,1,9
2105,7,1,311345,19,0,1,2,14,4,2,1,1,2,10,2,2,7966,797032,10537,1,8
489,3,4,577256,18,0,1,2,9,6,2,1,2,1,10,7,1,5198,900080,17118,1,8
774,6,2,664414,19,1,1,2,12,4,2,3,3,1,10,2,3,9644,1363753,9730,1,7
934,7,1,278433,14,1,1,2,14,4,2,1,1,3,10,2,3,11038,522347,8499,1,8
1241,2,1,378806,21,0,2,3,16,4,4,1,2,2,10,4,2,4920,1249323,7633,1,8
407,3,4,525945,15,0,1,2,9,6,2,1,1,1,10,7,2,3998,727846,15244,1,7
219,2,1,506311,23,0,1,2,7,6,2,2,2,1,11,0,1,7254,1182176,12569,1,7
1666,4,2,613786,24,1,4,5,18,3,2,1,2,3,10,0,3,7944,842124,12723,1,8
270,2,1,491741,11,1,1,2,7,6,2,2,1,1,11,0,1,4371,1104033,15636,1,9
1253,2,1,318674,16,0,3,4,16,4,4,1,3,2,10,4,1,6301,532190,13230,1,9
1147,6,0,794062,18,0,2,3,15,2,2,5,3,2,11,2,2,7553,796169,19088,1,8
2209,1,0,216367,15,0,2,3,15,2,2,5,3,2,10,2,1,10392,1110272,13329,1,9
612,4,2,121616,18,1,1,2,11,5,3,3,2,1,10,7,2,10960,421251,12227,1,6
1943,7,0,771554,12,0,5,6,19,6,5,4,1,1,10,6,3,9566,548085,7866,1,7
993,7,1,789271,11,0,1,2,14,4,2,1,1,2,10,2,3,10582,1247195,19366,1,7
2028,5,2,407596,18,1,1,2,13,4,2,1,2,2,13,2,3,6942,1047739,13077,1,7
2083,5,2,717374,10,0,1,2,13,4,2,1,3,2,13,2,1,11187,1384624,17738,1,6
1495,3,4,160577,15,0,3,4,17,4,2,1,1,0,12,4,2,8474,1315231,9303,1,8
1993,7,0,535214,23,0,5,6,19,6,5,4,2,1,10,1,2,8752,1053941,17102,1,7
821,5,2,636477,16,0,1,2,13,4,2,1,2,3,13,2,3,11509,1026785,13674,1,8
636,4,2,466117,23,1,1,2,11,5,3,3,3,1,10,7,2,10902,613608,14541,1,9
1865,5,0,777450,18,0,5,6,19,5,2,4,1,3,10,3,1,7047,1076628,13572,1,7
2075,5,2,619567,16,0,1,2,13,4,2,1,1,2,13,2,1,10377,1154415,13143,1,9
286,2,1,153000,11,1,1,2,7,6,2,2,2,1,11,0,2,8365,1385007,8082,1,7
1172,6,0,110991,15,1,2,3,15,2,2,5,2,2,11,2,1,11934,801880,17021,1,7
36,1,3,540688,18,1,1,2,5,2,2,1,1,1,10,0,2,10565,757268,17968,1,7
899,5,2,540450,15,0,1,2,13,4,2,1,2,3,13,2,2,12142,1044723,16795,1,8
233,2,1,301252,24,0,1,2,7,6,2,2,2,1,11,0,3,11955,875706,18951,1,6
127,6,3,402252,17,0,1,2,6,2,2,1,2,1,10,0,3,3761,901079,17615,1,8
63,1,3,307187,19,0,1,2,5,2,2,1,2,1,10,0,1,11466,659895,18219,1,8
116,6,3,435307,18,1,1,2,6,2,2,1,1,1,10,0,3,12012,877950,11217,1,8
563,6,1,698200,21,0,1,2,10,2,3,1,2,1,12,7,3,10094,457058,11401,1,9
2064,5,2,157764,11,1,1,2,13,4,2,1,1,2,13,2,3,11794,577102,10140,1,8
938,7,1,608092,11,1,1,2,14,4,2,1,3,3,10,2,3,9598,640868,15921,1,8
449,3,4,650742,21,0,1,2,9,6,2,1,1,1,10,7,1,11888,846607,9245,1,6
731,6,2,477653,19,0,1,2,12,4,2,3,2,1,10,2,3,6564,981908,15489,1,9
1789,7,2,133269,12,0,5,6,18,3,2,1,3,3,13,2,3,6005,1340551,8678,1,7
1977,7,0,756867,23,0,5,6,19,6,5,4,1,1,10,8,1,4653,1427133,10962,1,7
424,3,4,767928,15,1,1,2,9,6,2,1,3,1,10,7,1,7619,996417,16360,1,8
2145,7,1,408529,11,0,1,2,14,4,2,1,2,2,10,2,3,8141,802790,14793,1,6
1103,6,0,552187,20,0,2,3,15,2,2,5,1,2,11,2,1,4917,819803,10561,1,8
137,6,3,137642,16,0,1,2,6,2,2,1,3,1,10,0,1,4940,842850,12586,1,6
36,1,3,540688,18,1,1,2,5,2,2,1,1,1,10,0,2,10565,757268,17968,1,7
1339,7,4,194326,15,0,3,4,16,4,4,1,2,0,10,4,1,5052,583001,14107,1,6
2298,1,0,729480,23,1,2,3,15,2,2,5,2,3,10,2,1,6596,1136212,10159,1,8
2059,5,2,674622,11,0,1,2,13,4,2,1,3,2,13,2,1,3754,1021826,13602,1,9
20,1,3,196987,16,1,1,2,5,2,2,1,3,1,10,0,2,7328,954301,16258,1,8
1273,2,1,128685,19,0,3,4,16,4,4,1,3,0,10,4,2,12096,667100,10966,1,8
898,5,2,248606,17,1,1,2,13,4,2,1,2,3,13,2,2,8866,992820,11253,1,8
1401,3,4,404151,11,0,3,4,17,4,2,1,1,0,12,4,1,12258,782865,11428,1,7
319,7,4,122386,18,0,1,2,8,6,2,2,2,1,10,0,3,10746,1158705,13786,1,6
2011,5,2,141056,10,0,1,2,13,4,2,1,3,2,13,2,2,10953,876921,18059,1,6
1524,6,1,500588,10,1,4,5,17,3,2,1,3,0,10,4,3,3604,1190016,13722,1,7
817,5,2,430994,21,0,1,2,13,4,2,1,1,0,13,2,2,9259,1414915,14254,1,7
2183,7,1,203203,23,0,1,2,14,4,2,1,1,2,10,2,2,12105,593452,18265,1,7
1939,7,0,125399,19,0,5,6,19,6,5,4,3,1,10,5,2,12010,581208,18315,1,6
369,7,4,280014,21,0,1,2,8,6,2,2,3,1,10,7,3,3665,1216655,9779,1,8
1067,1,0,650893,10,0,2,3,15,2,2,5,1,2,10,2,3,5189,797251,10204,1,6
2305,6,0,764652,13,0,2,3,15,2,2,5,3,3,11,2,3,6002,1342414,12574,1,8
2025,5,2,532388,17,0,1,2,13,4,2,1,1,2,13,2,1,4607,854792,19506,1,9
2186,7,1,683025,14,1,1,2,14,4,2,1,2,2,10,2,3,10146,678095,19158,1,8
152,6,3,151474,22,1,1,2,6,2,2,1,3,1,10,0,1,12430,753494,9126,1,7
1145,6,0,694935,14,0,2,3,15,2,2,5,3,2,11,2,2,5618,460373,18780,1,6
34,1,3,362448,14,1,1,2,5,2,2,1,1,1,10,0,1,3698,538308,14981,1,6
1646,4,2,723816,18,1,4,5,18,3,2,1,3,3,10,0,2,6136,480866,17943,1,6
346,7,4,412386,18,1,1,2,8,6,2,2,1,1,10,0,3,6683,457607,19018,1,6
1017,1,0,581578,20,0,2,3,15,2,2,5,2,2,10,2,3,7123,737426,8846,1,7
1587,6,1,115552,24,0,4,5,17,3,2,1,3,0,10,4,1,4467,1012403,14250,1,6
1386,7,4,487994,14,1,3,4,16,4,4,1,3,0,10,4,2,7881,1280516,13721,1,9
2129,7,1,245006,23,0,1,2,14,4,2,1,3,2,10,2,1,7178,1288094,13597,1,7
574,6,1,571759,24,1,1,2,10,2,3,1,1,1,12,7,2,5065,1196714,15772,1,8
2064,5,2,157764,11,1,1,2,13,4,2,1,1,2,13,2,3,11794,577102,10140,1,8
1973,7,0,507073,13,0,5,6,19,6,5,4,3,1,10,8,2,6373,549930,11163,1,9
919,7,1,252061,19,0,1,2,14,4,2,1,2,3,10,2,1,6302,1274066,15165,1,8
1522,6,1,317313,10,1,4,5,17,3,2,1,3,0,10,4,1,10985,1273978,16018,1,6
1653,4,2,472670,10,0,4,5,18,3,2,1,3,3,10,0,2,12248,1307237,19635,1,8
1831,5,0,449955,23,0,5,6,19,5,2,4,3,3,10,3,1,10297,1320706,8385,1,8
2026,5,2,418285,21,1,1,2,13,4,2,1,2,2,13,2,3,6786,1132938,9232,1,9
1097,1,0,537332,11,0,2,3,15,2,2,5,2,2,10,2,1,8960,1368440,9252,1,6
2153,7,1,736737,22,0,1,2,14,4,2,1,3,2,10,2,3,9325,1275743,13975,1,7
663,4,2,420207,14,0,1,2,11,5,3,3,1,1,10,7,1,3740,801532,18158,1,7
625,4,2,744346,21,0,1,2,11,5,3,3,1,1,10,7,2,6416,934811,14859,1,6
776,6,2,477901,12,1,1,2,12,4,2,3,1,1,10,2,1,11804,750892,15893,1,8
407,3,4,525945,15,0,1,2,9,6,2,1,1,1,10,7,2,3998,727846,15244,1,7
563,6,1,698200,21,0,1,2,10,2,3,1,2,1,12,7,3,10094,457058,11401,1,9
719,6,2,241560,17,0,1,2,12,4,2,3,3,1,10,2,1,4226,660307,19554,1,9
760,6,2,390924,23,1,1,2,12,4,2,3,3,1,10,2,2,7803,1268379,10755,1,8
1493,3,4,721738,23,0,3,4,17,4,2,1,2,0,12,4,3,6691,1293202,11534,1,8
116,6,3,435307,18,1,1,2,6,2,2,1,1,1,10,0,3,12012,877950,11217,1,8
2154,7,1,571243,12,1,1,2,14,4,2,1,3,2,10,2,2,6629,851913,16858,1,7
2059,5,2,674622,11,0,1,2,13,4,2,1,3,2,13,2,1,3754,1021826,13602,1,9
2114,7,1,546305,15,1,1,2,14,4,2,1,2,2,10,2,1,4203,1053023,9003,1,8
1437,3,4,125443,18,0,3,4,17,4,2,1,2,0,12,4,1,8763,1373236,9257,1,6
1622,4,2,135918,19,1,4,5,18,3,2,1,3,3,10,4,1,9887,804590,18850,1,7
680,4,2,626874,23,1,1,2,11,5,3,3,3,1,10,2,1,8302,832739,18774,1,8
34,1,3,362448,14,1,1,2,5,2,2,1,1,1,10,0,1,3698,538308,14981,1,6
2039,5,2,330398,18,0,1,2,13,4,2,1,3,2,13,2,2,9983,1128316,11291,1,7
1754,7,2,165024,21,1,5,6,18,3,2,1,3,3,13,2,3,6821,1026349,18478,1,6
449,3,4,650742,21,0,1,2,9,6,2,1,1,1,10,7,1,11888,846607,9245,1,6
1865,5,0,777450,18,0,5,6,19,5,2,4,1,3,10,3,1,7047,1076628,13572,1,7
1248,2,1,248309,23,1,2,3,16,4,4,1,1,2,10,4,3,6857,800701,12792,1,8
714,6,2,342691,17,1,1,2,12,4,2,3,3,1,10,2,1,9987,1348551,19118,1,9
2204,1,0,591344,15,1,2,3,15,2,2,5,1,2,10,2,3,5742,603201,10511,1,8
1705,7,2,233222,15,0,4,5,18,3,2,1,2,3,13,0,1,6732,1200672,8464,1,6
1018,1,0,663937,14,1,2,3,15,2,2,5,2,2,10,2,1,6886,1009510,15038,1,7
589,6,1,252131,10,0,1,2,10,2,3,1,3,1,12,7,3,6258,642398,13355,1,6
1099,1,0,439220,16,0,2,3,15,2,2,5,3,2,10,2,1,6458,752882,10377,1,7
1708,7,2,522745,12,1,4,5,18,3,2,1,3,3,13,0,3,4752,1391382,8156,1,9
116,6,3,435307,18,1,1,2,6,2,2,1,1,1,10,0,3,12012,877950,11217,1,8
89,1,3,127205,15,0,1,2,5,2,2,1,3,1,10,0,1,8201,464657,13331,1,6
1973,7,0,507073,13,0,5,6,19,6,5,4,3,1,10,8,2,6373,549930,11163,1,9
1273,2,1,128685,19,0,3,4,16,4,4,1,3,0,10,4,2,12096,667100,10966,1,8
1004,1,0,630964,20,1,2,3,15,2,2,5,3,2,10,2,1,4959,1393568,13615,1,6
1090,1,0,440004,12,1,2,3,15,2,2,5,1,2,10,2,1,10288,1329342,8089,1,9
1826,5,0,411718,18,1,5,6,19,5,2,4,1,3,10,3,3,4779,1361893,19814,1,7
980,7,1,220798,22,1,1,2,14,4,2,1,2,2,10,2,3,9650,1220398,10009,1,7
1532,6,1,548387,10,1,4,5,17,3,2,1,1,0,10,4,1,8662,604673,12723,1,7
1064,1,0,368776,20,1,2,3,15,2,2,5,1,2,10,2,3,8756,869059,19934,1,7
1486,3,4,248025,19,1,3,4,17,4,2,1,1,0,12,4,2,7207,1093078,12215,1,9
1402,3,4,140379,13,1,3,4,17,4,2,1,2,0,12,4,3,6721,1321427,7628,1,7
1576,6,1,750867,18,1,4,5,17,3,2,1,1,0,10,4,3,11634,666393,15475,1,7
2339,6,0,195301,13,0,2,3,15,2,2,5,3,3,11,2,1,5239,978625,9489,1,8
4,1,3,292728,14,1,1,2,5,2,2,1,2,1,10,0,3,5628,774695,11209,1,8
1765,7,2,585302,14,0,5,6,18,3,2,1,1,3,13,2,3,6633,937696,14207,1,6
595,6,1,157102,21,0,1,2,10,2,3,1,2,1,12,7,1,6838,502893,18094,1,7
1530,6,1,758829,14,1,4,5,17,3,2,1,1,0,10,4,3,6906,466798,10663,1,9
1319,7,4,189774,22,0,3,4,16,4,4,1,1,0,10,4,3,10468,649569,17657,1,7
605,4,2,259411,14,0,1,2,11,5,3,3,1,1,10,7,1,11609,503237,10098,1,6
1165,6,0,246771,22,0,2,3,15,2,2,5,2,2,11,2,3,6154,1033385,7668,1,7
1780,7,2,302577,14,1,5,6,18,3,2,1,1,3,13,2,1,5861,668241,19083,1,6
1638,4,2,561131,16,1,4,5,18,3,2,1,1,3,10,4,2,9487,1294730,13008,1,8
1420,3,4,782887,14,1,3,4,17,4,2,1,1,0,12,4,1,8446,1340449,8292,1,8
582,6,1,614523,15,1,1,2,10,2,3,1,2,1,12,7,2,3933,500117,12069,1,7
774,6,2,664414,19,1,1,2,12,4,2,3,3,1,10,2,3,9644,1363753,9730,1,7
233,2,1,301252,24,0,1,2,7,6,2,2,2,1,11,0,3,11955,875706,18951,1,6
1547,6,1,330980,12,0,4,5,17,3,2,1,1,0,10,4,2,11518,709053,10804,1,6
1826,5,0,411718,18,1,5,6,19,5,2,4,1,3,10,3,3,4779,1361893,19814,1,7
1286,2,1,289961,12,1,3,4,16,4,4,1,3,0,10,4,1,4606,781934,9887,1,7
1197,6,0,101209,24,0,2,3,15,2,2,5,3,2,11,4,2,11733,1023589,11836,1,8
1420,3,4,782887,14,1,3,4,17,4,2,1,1,0,12,4,1,8446,1340449,8292,1,8
19,1,3,175553,12,0,1,2,5,2,2,1,1,1,10,0,2,9972,1394542,8265,1,9
239,2,1,556683,22,0,1,2,7,6,2,2,3,1,11,0,3,11641,892015,9680,1,9
931,7,1,565390,13,0,1,2,14,4,2,1,3,3,10,2,3,8676,974566,8154,1,6
631,4,2,657630,11,0,1,2,11,5,3,3,2,1,10,7,3,8120,1250565,7595,1,6
2282,1,0,720389,23,1,2,3,15,2,2,5,1,3,10,2,1,11730,466153,8950,1,6
